cust_id,income,age,years_with_bank,nbr_children,gender,marital_status
C0071,39241,48,24,5,M,Y
C0072,39512,32,7,0,F,N
C0073,39783,69,20,1,M,Y
C0074,40054,53,3,2,F,Y
C0075,40325,37,16,3,M,N
C0076,40596,21,29,4,F,Y
C0077,40867,58,12,5,M,Y
C0078,41138,42,25,0,F,N
C0079,41409,26,8,1,M,Y
C0080,41680,63,21,2,F,Y
C0081,41951,47,4,3,M,N
C0082,42222,31,17,4,F,Y
C0083,42493,68,30,5,M,Y
C0084,42764,52,13,0,F,N
C0085,43035,36,26,1,M,Y
C0086,43306,20,9,2,F,Y
C0087,43577,57,22,3,M,N
C0088,43848,41,5,4,F,Y
C0089,44119,25,18,5,M,Y
C0090,44390,62,1,0,F,N
C0091,44661,46,14,1,M,Y
C0092,44932,30,27,2,F,Y
C0093,45203,67,10,3,M,N
C0094,45474,51,23,4,F,Y
C0095,45745,35,6,5,M,Y
C0096,46016,19,19,0,F,N
C0097,46287,56,2,1,M,Y
C0098,46558,40,15,2,F,Y
C0099,46829,24,28,3,M,N
C0100,47100,61,11,4,F,Y
C0101,47371,45,24,5,M,Y
C0102,47642,29,7,0,F,N
C0103,47913,66,20,1,M,Y
C0104,48184,50,3,2,F,Y
C0105,48455,34,16,3,M,N
C0106,48726,18,29,4,F,Y
C0107,48997,55,12,5,M,Y
C0108,49268,39,25,0,F,N
C0109,49539,23,8,1,M,Y
C0110,49810,60,21,2,F,Y
C0111,50081,44,4,3,M,N
C0112,50352,28,17,4,F,Y
C0113,50623,65,30,5,M,Y
C0114,50894,49,13,0,F,N
C0115,51165,33,26,1,M,Y
C0116,51436,70,9,2,F,Y
C0117,51707,54,22,3,M,N
C0118,51978,38,5,4,F,Y
C0119,52249,22,18,5,M,Y
C0120,52520,59,1,0,F,N
C0121,52791,43,14,1,M,Y
C0122,53062,27,27,2,F,Y
C0123,53333,64,10,3,M,N
C0124,53604,48,23,4,F,Y
C0125,53875,32,6,5,M,Y
C0126,54146,69,19,0,F,N
C0127,54417,53,2,1,M,Y
C0128,54688,37,15,2,F,Y
C0129,54959,21,28,3,M,N
C0130,55230,58,11,4,F,Y
C0131,55501,42,24,5,M,Y
C0132,55772,26,7,0,F,N
C0133,56043,63,20,1,M,Y
C0134,56314,47,3,2,F,Y
C0135,56585,31,16,3,M,N
C0136,56856,68,29,4,F,Y
C0137,57127,52,12,5,M,Y
C0138,57398,36,25,0,F,N
C0139,57669,20,8,1,M,Y
C0140,57940,57,21,2,F,Y
C0141,58211,41,4,3,M,N
C0142,58482,25,17,4,F,Y
C0143,58753,62,30,5,M,Y
C0144,59024,46,13,0,F,N
C0145,59295,30,26,1,M,Y
C0146,59566,67,9,2,F,Y
C0147,59837,51,22,3,M,N
C0148,60108,35,5,4,F,Y
C0149,60379,19,18,5,M,Y
C0150,60650,56,1,0,F,N
C0151,60921,40,14,1,M,Y
C0152,61192,24,27,2,F,Y
C0153,61463,61,10,3,M,N
C0154,61734,45,23,4,F,Y
C0155,62005,29,6,5,M,Y
C0156,62276,66,19,0,F,N
C0157,62547,50,2,1,M,Y
C0158,62818,34,15,2,F,Y
C0159,63089,18,28,3,M,N
C0160,63360,55,11,4,F,Y
C0161,63631,39,24,5,M,Y
C0162,63902,23,7,0,F,N
C0163,64173,60,20,1,M,Y
C0164,64444,44,3,2,F,Y
C0165,64715,28,16,3,M,N
C0166,64986,65,29,4,F,Y
C0167,65257,49,12,5,M,Y
C0168,65528,33,25,0,F,N
C0169,65799,70,8,1,M,Y
C0170,66070,54,21,2,F,Y
C0171,66341,38,4,3,M,N
C0172,66612,22,17,4,F,Y
C0173,66883,59,30,5,M,Y
C0174,67154,43,13,0,F,N
C0175,67425,27,26,1,M,Y
C0176,67696,64,9,2,F,Y
C0177,67967,48,22,3,M,N
C0178,68238,32,5,4,F,Y
C0179,68509,69,18,5,M,Y
C0180,68780,53,1,0,F,N
C0181,69051,37,14,1,M,Y
C0182,69322,21,27,2,F,Y
C0183,69593,58,10,3,M,N
C0184,69864,42,23,4,F,Y
C0185,70135,26,6,5,M,Y
C0186,70406,63,19,0,F,N
C0187,70677,47,2,1,M,Y
C0188,70948,31,15,2,F,Y
C0189,71219,68,28,3,M,N
C0190,71490,52,11,4,F,Y
C0191,71761,36,24,5,M,Y
C0192,72032,20,7,0,F,N
C0193,72303,57,20,1,M,Y
C0194,72574,41,3,2,F,Y
C0195,72845,25,16,3,M,N
C0196,73116,62,29,4,F,Y
C0197,73387,46,12,5,M,Y
C0198,73658,30,25,0,F,N
C0199,73929,67,8,1,M,Y
C0200,74200,51,21,2,F,Y
C0201,74471,35,4,3,M,N
C0202,74742,19,17,4,F,Y
C0203,75013,56,30,5,M,Y
C0204,75284,40,13,0,F,N
C0205,75555,24,26,1,M,Y
C0206,75826,61,9,2,F,Y
C0207,76097,45,22,3,M,N
C0208,76368,29,5,4,F,Y
C0209,76639,66,18,5,M,Y
C0210,76910,50,1,0,F,N
C0211,77181,34,14,1,M,Y
C0212,77452,18,27,2,F,Y
C0213,77723,55,10,3,M,N
C0214,77994,39,23,4,F,Y
C0215,78265,23,6,5,M,Y
C0216,78536,60,19,0,F,N
C0217,78807,44,2,1,M,Y
C0218,79078,28,15,2,F,Y
C0219,79349,65,28,3,M,N
C0220,79620,49,11,4,F,Y
C0221,79891,33,24,5,M,Y
C0222,80162,70,7,0,F,N
C0223,80433,54,20,1,M,Y
C0224,80704,38,3,2,F,Y
C0225,80975,22,16,3,M,N
C0226,81246,59,29,4,F,Y
C0227,81517,43,12,5,M,Y
C0228,81788,27,25,0,F,N
C0229,82059,64,8,1,M,Y
C0230,82330,48,21,2,F,Y
C0231,82601,32,4,3,M,N
C0232,82872,69,17,4,F,Y
C0233,83143,53,30,5,M,Y
C0234,83414,37,13,0,F,N
C0235,83685,21,26,1,M,Y
C0236,83956,58,9,2,F,Y
C0237,84227,42,22,3,M,N
C0238,84498,26,5,4,F,Y
C0239,84769,63,18,5,M,Y
C0240,85040,47,1,0,F,N
C0241,85311,31,14,1,M,Y
C0242,85582,68,27,2,F,Y
C0243,85853,52,10,3,M,N
C0244,86124,36,23,4,F,Y
C0245,86395,20,6,5,M,Y
C0246,86666,57,19,0,F,N
C0247,86937,41,2,1,M,Y
C0248,87208,25,15,2,F,Y
C0249,87479,62,28,3,M,N
C0250,87750,46,11,4,F,Y
C0251,88021,30,24,5,M,Y
C0252,88292,67,7,0,F,N
C0253,88563,51,20,1,M,Y
C0254,88834,35,3,2,F,Y
C0255,89105,19,16,3,M,N
C0256,89376,56,29,4,F,Y
C0257,89647,40,12,5,M,Y
C0258,89918,24,25,0,F,N
C0259,90189,61,8,1,M,Y
C0260,90460,45,21,2,F,Y
C0261,90731,29,4,3,M,N
C0262,91002,66,17,4,F,Y
C0263,91273,50,30,5,M,Y
C0264,91544,34,13,0,F,N
C0265,91815,18,26,1,M,Y
C0266,92086,55,9,2,F,Y
C0267,92357,39,22,3,M,N
C0268,92628,23,5,4,F,Y
C0269,92899,60,18,5,M,Y
C0270,93170,44,1,0,F,N
C0271,93441,28,14,1,M,Y
C0272,93712,65,27,2,F,Y
C0273,93983,49,10,3,M,N
C0274,94254,33,23,4,F,Y
C0275,94525,70,6,5,M,Y
C0276,94796,54,19,0,F,N
C0277,95067,38,2,1,M,Y
C0278,95338,22,15,2,F,Y
C0279,95609,59,28,3,M,N
C0280,95880,43,11,4,F,Y
C0281,96151,27,24,5,M,Y
C0282,96422,64,7,0,F,N
C0283,96693,48,20,1,M,Y
C0284,96964,32,3,2,F,Y
C0285,97235,69,16,3,M,N
C0286,97506,53,29,4,F,Y
C0287,97777,37,12,5,M,Y
C0288,98048,21,25,0,F,N
C0289,98319,58,8,1,M,Y
C0290,98590,42,21,2,F,Y
C0291,98861,26,4,3,M,N
C0292,99132,63,17,4,F,Y
C0293,99403,47,30,5,M,Y
C0294,99674,31,13,0,F,N
C0295,99945,68,26,1,M,Y
C0296,100216,52,9,2,F,Y
C0297,100487,36,22,3,M,N
C0298,100758,20,5,4,F,Y
C0299,101029,57,18,5,M,Y
C0300,101300,41,1,0,F,N
C0301,101571,25,14,1,M,Y
C0302,101842,62,27,2,F,Y
C0303,102113,46,10,3,M,N
C0304,102384,30,23,4,F,Y
C0305,102655,67,6,5,M,Y
C0306,102926,51,19,0,F,N
C0307,103197,35,2,1,M,Y
C0308,103468,19,15,2,F,Y
C0309,103739,56,28,3,M,N
C0310,104010,40,11,4,F,Y
C0311,104281,24,24,5,M,Y
C0312,104552,61,7,0,F,N
C0313,104823,45,20,1,M,Y
C0314,105094,29,3,2,F,Y
C0315,105365,66,16,3,M,N
C0316,105636,50,29,4,F,Y
C0317,105907,34,12,5,M,Y
C0318,106178,18,25,0,F,N
C0319,106449,55,8,1,M,Y
C0320,106720,39,21,2,F,Y
C0321,106991,23,4,3,M,N
C0322,107262,60,17,4,F,Y
C0323,107533,44,30,5,M,Y
C0324,107804,28,13,0,F,N
C0325,108075,65,26,1,M,Y
C0326,108346,49,9,2,F,Y
C0327,108617,33,22,3,M,N
C0328,108888,70,5,4,F,Y
C0329,109159,54,18,5,M,Y
C0330,109430,38,1,0,F,N
C0331,109701,22,14,1,M,Y
C0332,109972,59,27,2,F,Y
C0333,110243,43,10,3,M,N
C0334,110514,27,23,4,F,Y
C0335,110785,64,6,5,M,Y
C0336,111056,48,19,0,F,N
C0337,111327,32,2,1,M,Y
C0338,111598,69,15,2,F,Y
C0339,111869,53,28,3,M,N
C0340,112140,37,11,4,F,Y
C0341,112411,21,24,5,M,Y
C0342,112682,58,7,0,F,N
C0343,112953,42,20,1,M,Y
C0344,113224,26,3,2,F,Y
C0345,113495,63,16,3,M,N
C0346,113766,47,29,4,F,Y
C0347,114037,31,12,5,M,Y
C0348,114308,68,25,0,F,N
C0349,114579,52,8,1,M,Y
C0350,114850,36,21,2,F,Y
C0351,115121,20,4,3,M,N
C0352,115392,57,17,4,F,Y
C0353,115663,41,30,5,M,Y
C0354,115934,25,13,0,F,N
C0355,116205,62,26,1,M,Y
C0356,116476,46,9,2,F,Y
C0357,116747,30,22,3,M,N
C0358,117018,67,5,4,F,Y
C0359,117289,51,18,5,M,Y
C0360,117560,35,1,0,F,N
C0361,117831,19,14,1,M,Y
C0362,118102,56,27,2,F,Y
C0363,118373,40,10,3,M,N
C0364,118644,24,23,4,F,Y
C0365,118915,61,6,5,M,Y
C0366,119186,45,19,0,F,N
C0367,119457,29,2,1,M,Y
C0368,119728,66,15,2,F,Y
C0369,119999,50,28,3,M,N
C0370,120270,34,11,4,F,Y
C0371,120541,18,24,5,M,Y
C0372,120812,55,7,0,F,N
C0373,121083,39,20,1,M,Y
C0374,121354,23,3,2,F,Y
C0375,121625,60,16,3,M,N
C0376,121896,44,29,4,F,Y
C0377,122167,28,12,5,M,Y
C0378,122438,65,25,0,F,N
C0379,122709,49,8,1,M,Y
C0380,122980,33,21,2,F,Y
C0381,123251,70,4,3,M,N
C0382,123522,54,17,4,F,Y
C0383,123793,38,30,5,M,Y
C0384,124064,22,13,0,F,N
C0385,124335,59,26,1,M,Y
C0386,124606,43,9,2,F,Y
C0387,124877,27,22,3,M,N
C0388,125148,64,5,4,F,Y
C0389,125419,48,18,5,M,Y
C0390,125690,32,1,0,F,N
C0391,125961,69,14,1,M,Y
C0392,126232,53,27,2,F,Y
C0393,126503,37,10,3,M,N
C0394,126774,21,23,4,F,Y
C0395,127045,58,6,5,M,Y
C0396,127316,42,19,0,F,N
C0397,127587,26,2,1,M,Y
C0398,127858,63,15,2,F,Y
C0399,128129,47,28,3,M,N
C0400,128400,31,11,4,F,Y
C0401,128671,68,24,5,M,Y
C0402,128942,52,7,0,F,N
C0403,129213,36,20,1,M,Y
C0404,129484,20,3,2,F,Y
C0405,129755,57,16,3,M,N
C0406,130026,41,29,4,F,Y
C0407,130297,25,12,5,M,Y
C0408,130568,62,25,0,F,N
C0409,130839,46,8,1,M,Y
C0410,131110,30,21,2,F,Y
C0411,131381,67,4,3,M,N
C0412,131652,51,17,4,F,Y
C0413,131923,35,30,5,M,Y
C0414,132194,19,13,0,F,N
C0415,132465,56,26,1,M,Y
C0416,132736,40,9,2,F,Y
C0417,133007,24,22,3,M,N
C0418,133278,61,5,4,F,Y
C0419,133549,45,18,5,M,Y
C0420,133820,29,1,0,F,N
C0421,134091,66,14,1,M,Y
C0422,134362,50,27,2,F,Y
C0423,134633,34,10,3,M,N
C0424,134904,18,23,4,F,Y
C0425,135175,55,6,5,M,Y
C0426,135446,39,19,0,F,N
C0427,135717,23,2,1,M,Y
C0428,135988,60,15,2,F,Y
C0429,136259,44,28,3,M,N
C0430,136530,28,11,4,F,Y
C0431,136801,65,24,5,M,Y
C0432,137072,49,7,0,F,N
C0433,137343,33,20,1,M,Y
C0434,137614,70,3,2,F,Y
C0435,137885,54,16,3,M,N
C0436,138156,38,29,4,F,Y
C0437,138427,22,12,5,M,Y
C0438,138698,59,25,0,F,N
C0439,138969,43,8,1,M,Y
C0440,139240,27,21,2,F,Y
C0441,139511,64,4,3,M,N
C0442,139782,48,17,4,F,Y
C0443,140053,32,30,5,M,Y
C0444,140324,69,13,0,F,N
C0445,140595,53,26,1,M,Y
C0446,140866,37,9,2,F,Y
C0447,141137,21,22,3,M,N
C0448,141408,58,5,4,F,Y
C0449,141679,42,18,5,M,Y
C0450,141950,26,1,0,F,N
C0451,142221,63,14,1,M,Y
C0452,142492,47,27,2,F,Y
C0453,142763,31,10,3,M,N
C0454,143034,68,23,4,F,Y
C0455,143305,52,6,5,M,Y
C0456,143576,36,19,0,F,N
C0457,143847,20,2,1,M,Y
C0458,144118,57,15,2,F,Y
C0459,144389,41,28,3,M,N
C0460,144660,25,11,4,F,Y
C0461,144931,62,24,5,M,Y
C0462,145202,46,7,0,F,N
C0463,145473,30,20,1,M,Y
C0464,145744,67,3,2,F,Y
C0465,146015,51,16,3,M,N
C0466,146286,35,29,4,F,Y
C0467,146557,19,12,5,M,Y
C0468,146828,56,25,0,F,N
C0469,147099,40,8,1,M,Y
C0470,147370,24,21,2,F,Y
C0471,147641,61,4,3,M,N
C0472,147912,45,17,4,F,Y
C0473,148183,29,30,5,M,Y
C0474,148454,66,13,0,F,N
C0475,148725,50,26,1,M,Y
C0476,148996,34,9,2,F,Y
C0477,149267,18,22,3,M,N
C0478,149538,55,5,4,F,Y
C0479,149809,39,18,5,M,Y
C0480,20079,23,1,0,F,N
C0481,20350,60,14,1,M,Y
C0482,20621,44,27,2,F,Y
C0483,20892,28,10,3,M,N
C0484,21163,65,23,4,F,Y
C0485,21434,49,6,5,M,Y
C0486,21705,33,19,0,F,N
C0487,21976,70,2,1,M,Y
C0488,22247,54,15,2,F,Y
C0489,22518,38,28,3,M,N
C0490,22789,22,11,4,F,Y
C0491,23060,59,24,5,M,Y
C0492,23331,43,7,0,F,N
C0493,23602,27,20,1,M,Y
C0494,23873,64,3,2,F,Y
C0495,24144,48,16,3,M,N
C0496,24415,32,29,4,F,Y
C0497,24686,69,12,5,M,Y
C0498,24957,53,25,0,F,N
C0499,25228,37,8,1,M,Y
C0500,25499,21,21,2,F,Y
